timestamps,consumption
2024-01-01 00:00:00,1.599949920748073
2024-01-01 01:00:00,2.9430072903811286
2024-01-01 02:00:00,1.6986109258548385
2024-01-01 03:00:00,2.8711685472437627
2024-01-01 04:00:00,3.3369550751132597
2024-01-01 05:00:00,3.1512479504235307
2024-01-01 06:00:00,6.323973412027468
2024-01-01 07:00:00,3.591547233367962
2024-01-01 08:00:00,4.879722048150905
2024-01-01 09:00:00,5.081493300686406
2024-01-01 10:00:00,4.342244998248691
2024-01-01 11:00:00,6.76174865450138
2024-01-01 12:00:00,3.799089476129894
2024-01-01 13:00:00,6.495670001153384
2024-01-01 14:00:00,6.467206999648384
2024-01-01 15:00:00,3.6070032727090613
2024-01-01 16:00:00,4.44866819294414
2024-01-01 17:00:00,5.233932293592687
2024-01-01 18:00:00,2.361510613111449
2024-01-01 19:00:00,2.217391706606858
2024-01-01 20:00:00,1.6581409147445296
2024-01-01 21:00:00,1.6376173347704193
2024-01-01 22:00:00,2.5671855376005803
2024-01-01 23:00:00,2.0403610731629893
2024-01-02 00:00:00,2.322165781265909
2024-01-02 01:00:00,1.656502010305965
2024-01-02 02:00:00,2.683901016658978
2024-01-02 03:00:00,2.9666633453469844
2024-01-02 04:00:00,2.014853304615012
2024-01-02 05:00:00,1.9541928174671321
2024-01-02 06:00:00,6.192062036515427
2024-01-02 07:00:00,6.195907428617173
2024-01-02 08:00:00,5.6026658443669595
2024-01-02 09:00:00,3.823005393926156
2024-01-02 10:00:00,4.0655103000492305
2024-01-02 11:00:00,3.7263411376567452
2024-01-02 12:00:00,5.563174904929369
2024-01-02 13:00:00,5.851796696918314
2024-01-02 14:00:00,6.788289526158456
2024-01-02 15:00:00,6.586644310564251
2024-01-02 16:00:00,4.740595204592688
2024-01-02 17:00:00,6.937636364068924
2024-01-02 18:00:00,2.0245929681442076
2024-01-02 19:00:00,2.1425171923434125
2024-01-02 20:00:00,2.341505184839382
2024-01-02 21:00:00,3.234339814473971
2024-01-02 22:00:00,2.752565730691848
2024-01-02 23:00:00,3.2476547881605873
2024-01-03 00:00:00,2.2080652617267433
2024-01-03 01:00:00,1.930522857369167
